,ct_22_102,ct_22_100,ct_22_99,ct_22_98,ct_22_93,ct_22_91,ct_22_90,ct_22_88,ct_22_77,ct_22_65,ct_22_57,ct_22_55,ct_22_46,ct_22_41,ct_22_31,ct_22_24,ct_22_23,ct_22_18,ct_22_17,ct_22_6,ct_22_5,ct_21_68,ct_21_66,ct_21_65,ct_21_64,ct_21_61,ct_21_60,ct_21_59,ct_21_58,ct_21_56,ct_21_53,ct_21_48,ct_21_40,ct_21_38,ct_21_28,ct_21_22,ct_21_21,ct_21_18,ct_21_8,ct_21_7,ct_20_36,ct_20_35,ct_20_34,ct_20_28,ct_20_6,ct_19_40,ct_19_37,ct_19_26,ct_19_20,ct_19_17,ct_19_7,ct_19_5,ct_19_3,ct_18_9,ct_18_6,ct_18_5,ct_18_3,ct_18_2,ct_17_30,ct_17_23,ct_17_18,ct_17_16,ct_17_8,ct_17_2,ct_16_59,ct_16_58,ct_16_46,ct_16_35,ct_16_34,ct_16_29,ct_16_24,ct_16_22,ct_16_21,ct_16_16,ct_16_14,ct_16_12,ct_16_6,ct_15_36,ct_15_35,ct_15_34,ct_15_26,ct_15_23,ct_15_22,ct_15_20,ct_15_15,ct_15_14,ct_15_6,ct_15_5,ct_14_75,ct_14_73,ct_14_72,ct_14_70,ct_14_63,ct_14_57,ct_14_51,ct_14_48,ct_14_46,ct_14_45,ct_14_44,ct_14_43,ct_14_32,ct_14_30,ct_14_26,ct_14_21,ct_14_19,ct_14_14,ct_14_13,ct_14_4,ct_14_3,ct_13_47,ct_13_46,ct_13_44,ct_13_43,ct_13_42,ct_13_41,ct_13_38,ct_13_37,ct_13_36,ct_13_35,ct_13_33,ct_13_30,ct_13_25,ct_13_16,ct_13_14,ct_13_10,ct_13_9,ct_13_1,ct_12_11,ct_12_10,ct_12_2,ct_11_5,ct_11_3,ct_11_2,ct_10_16,ct_10_3,ct_9_64,ct_9_63,ct_9_62,ct_9_61,ct_9_58,ct_9_56,ct_9_54,ct_9_53,ct_9_51,ct_9_47,ct_9_43,ct_9_36,ct_9_33,ct_9_32,ct_9_25,ct_9_23,ct_9_21,ct_9_19,ct_9_15,ct_9_13,ct_9_12,ct_9_11,ct_9_10,ct_9_8,ct_9_7,ct_9_4,ct_9_2,ct_8_16,ct_8_15,ct_8_11,ct_8_2,ct_7_49,ct_7_48,ct_7_47,ct_7_42,ct_7_41,ct_7_40,ct_7_11,ct_7_9,ct_7_6,ct_7_5,ct_7_3,ct_7_2,ct_6_6,ct_6_5,ct_6_3,ct_6_2,ct_4_15,ct_4_13,ct_3_3,ct_3_2,ct_2_43,ct_2_42,ct_2_40,ct_2_38,ct_2_37,ct_2_35,ct_2_33,ct_2_23,ct_2_22,ct_2_15,ct_2_13,ct_2_5,ct_2_2,ct_1_29,ct_1_28,ct_1_27,ct_1_26,ct_1_24,ct_1_14,ct_1_2,bsat,censat,ct,dhor,gsat,hor,hsat1,hsat2,hsat3,mon,centromere,unique,total
ct_22_57,0,0,0,0,0,0,0,0,0,0,30149,1140,14784,4092,0,0,3853,0,0,1498,1616,0,0,0,0,0,0,0,0,0,0,0,7776,0,3585,0,0,0,1619,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3628,0,0,1347,1725,0,0,0,0,0,0,0,0,0,0,0,0,7817,1670,0,0,3520,0,0,1524,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3654,0,0,1621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117,0,0,1522,21222,0,0,0,0,0,0,0,1522,6794,30149
ct_22_55,0,0,0,0,0,0,0,0,0,0,1140,28543,1009,8486,0,0,1627,0,0,5535,3029,0,0,0,0,0,0,0,0,0,0,0,1677,0,1648,0,0,0,5612,3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757,0,0,5622,3113,0,0,0,0,0,0,0,0,0,0,0,0,2226,1689,0,0,1844,0,0,5638,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,0,0,5430,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,78,0,0,0,2240,0,0,0,21,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8598,5310,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,1292,0,0,8425,11573,0,0,0,0,0,0,0,8425,8055,28543
ct_22_46,0,0,0,0,0,0,0,0,0,0,14784,1009,29557,1146,0,0,1509,0,0,1057,1613,0,0,0,0,0,0,0,0,0,0,0,1705,0,1308,0,0,0,1129,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,0,0,1085,1639,0,0,0,0,0,0,0,0,0,0,0,0,1551,1509,0,0,1393,0,0,1156,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,0,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,0,1092,15211,0,0,0,0,0,0,0,1092,12772,29557
ct_22_41,0,0,0,0,0,0,0,0,0,0,4092,8486,1146,29825,0,0,4490,0,0,8525,2431,0,0,0,0,0,0,0,0,0,0,0,4693,0,4091,0,0,0,8170,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4319,0,0,8504,2622,0,0,0,0,0,0,0,0,0,0,0,0,5032,2119,0,0,4236,0,0,8493,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,0,8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8531,8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,0,0,7790,12293,0,0,0,0,0,0,0,7790,9111,29825
ct_22_31,0,0,117,0,0,0,0,0,0,9358,0,0,0,0,91989,0,0,0,0,0,0,0,0,0,16645,0,0,0,0,0,0,8741,0,26337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,1067,0,0,0,0,0,0,0,0,0,37132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47675,0,0,0,0,0,0,0,0,0,17636,1345,0,0,0,0,0,0,7754,53593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,903,781,0,0,0,0,1073,0,1110,1090,492,1220,0,1200,0,1277,0,0,0,1467,65535,0,0,0,63,0,0,0,1530,21543,91989
ct_22_24,0,0,0,3916,0,0,0,0,0,0,0,0,0,0,0,27470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,563,2901,0,37,418,0,37,0,2865,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,2,0,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,6,6,1378,1371,0,0,0,0,0,0,0,0,0,0,6053,0,0,0,0,0,0,0,0,19620,27470
ct_22_23,0,0,0,0,0,0,0,0,0,0,3853,1627,1509,4490,0,0,29065,0,0,1885,1740,0,0,0,0,0,0,0,0,0,0,0,10357,0,18729,0,0,0,1856,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10760,0,0,1841,1912,0,0,0,0,0,0,0,0,0,0,0,0,10058,1318,0,0,10340,0,0,1708,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10767,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,0,0,1982,20378,0,0,0,0,0,0,0,1982,6185,29065
ct_22_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36576,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24212,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,22291,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23149,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23456,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29742,0,0,0,0,0,0,0,0,6741,36576
ct_22_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,70433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,40,51621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,66009,0,0,0,0,0,0,0,2,4357,70433
ct_22_6,0,0,0,0,0,0,0,0,0,0,1498,5535,1057,8525,0,0,1885,0,0,30889,3034,0,0,0,0,0,0,0,0,0,0,0,1974,0,1719,0,0,0,23101,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,0,0,26111,3082,0,0,0,0,0,0,0,0,0,0,0,0,2337,2674,0,0,2113,0,0,22112,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,0,0,22987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8816,21490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2870,0,0,8064,19914,0,0,0,0,0,0,0,8064,2387,30889
ct_22_5,0,0,0,0,0,0,0,0,0,0,1616,3029,1613,2431,0,0,1740,0,0,3034,35466,11,0,0,0,0,0,0,0,0,0,0,2235,0,1759,0,0,0,2725,18945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,0,0,3145,32279,0,0,0,0,0,0,0,0,0,0,0,0,2071,1955,0,0,2120,0,0,2842,19641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,0,0,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,53,0,0,0,2324,0,0,0,23,61,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2796,2728,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1653,0,0,2259,30938,0,0,0,0,0,0,0,2259,1747,35466
ct_21_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,88104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6687,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,473,0,0,0,0,0,0,0,428,355,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18699,0,0,0,0,0,0,0,0,69278,88104
ct_21_66,0,0,0,0,0,28,344,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,328721,0,98,0,47,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520,60804,0,0,95,0,0,0,0,0,0,0,0,0,0,0,99,0,0,61,0,61,0,0,9244,0,0,0,33,0,0,0,0,0,2,2,317,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,117,1983,28359,0,86,0,0,47,0,0,0,0,115,111,0,0,0,0,0,0,0,0,0,0,0,11,0,0,836,87,33,0,821,0,33,0,0,0,0,0,45,1516,0,24,0,0,0,69,0,851,110,36,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,126,0,57,57,0,3,20,3,0,3,0,0,0,0,88826,0,22,0,0,0,0,0,22,218684,328721
